wp_post_id,kind,text
3876,pro,"Отчеты о продажах легко читаются, можно без усилий сделать анализ своих доходов от Travelpayouts"
3876,pro,Интерфейс очень прост в использовании
3876,pro,Широкий выбор банков для вывода денег
3876,pro,Имеются собственные поисковые формы для сайта или блога. 
3876,pro,Присутсвует опция карты
3876,pro,"TravelPayouts имеет собственную систему виджетов, движков и различный панелей инструментов"
3876,pro,Наличие поиска White Label позволяет адаптировать дизайн
3876,pro,Имеется раздел новостей на сайте
3878,pro,Есть русифицированная версия сайта
3878,pro,Детальная статистика и аналитика по каждому офферу
3878,pro,Отсутствие холдов
3878,pro,Персональный менеджер и поддержка 24/7
3878,con,Пользовательское соглашение не переведено на русский язык
3878,con,В основном реклама собственных проектов
3885,pro,"Предлагаются до 90% офферов от прямых рекламодателей, что позволяет давать арбитражникам высокие ставки и выгодные условия"
3885,pro,Нет холда и есть возможность выводить деньги по запросу
3885,pro,"Предлагаются индивидуальные условия для вебмастеров, которые дают большие объемы трафика"
3885,pro,"Отличные саппорты, которые рекомендуют действительно рабочие связки"
3885,pro,Есть собственный смартлинк и инструменты
3885,con,Весьма ограниченный выбор ГЕО
3887,pro,У сайта простой удобный кабинет
3887,pro,Есть офферы от прямых рекламодателей
3887,pro,Предлагается высококвалифицированная поддержка
3887,pro,Установлен минимальный % на вывод средств
3887,pro,Отличная реферальная программа
3887,con,"Что бы подключить офферы, нужно пройти собеседование с менеджером"
3887,con,Мало офферов направленых на HR
3889,pro,"Холд от 3 дней, выплаты 2 раза в неделю, а также экспресс-выплаты"
3889,pro,Наличие всех необходимых инструментов в личном кабинете
3889,pro,Дополнительные KPI и бонусы для лояльных партнеров
3889,pro,Поддержка по любым техническим и финансовым вопросам 24/7.
3889,pro,Есть более 100+ офферов
3889,pro,"Статистика, которая обновляется в режиме real-time"
3889,con,Сайт подвисает при переходах
3894,pro,В сети собраны лучшие офферы
3894,pro,Нет холда на аппрув и на выплату
3894,pro,Покрытие комиссии при выводе средств
3894,pro,Существуют кастомные условия для веб-мастеров
3894,pro,"Выплаты на карту, ФОП, Webmoney, Paypal"
3894,pro,Поддержка суппорта 24/7
3894,pro,Мотивационная система для веб-мастеров
3894,pro,"Удобная система учета трафика, статистика real-time"
3896,pro,Есть 550+ офферов с высокими выплатами
3896,pro,Предлагаются дополнительные бонусы в виде франкоинов по конкурсу
3896,pro,Есть мобильные приложения
3896,pro,Можно использовать партнерские инструменты SMS и VIBER рассылок для монетизации трафика.
3896,pro,Выплату производят по запросу в 5 валютах
3896,con,Ограниченный набор инструментов
3901,pro,"Предлагается высокий процент отчислений как за первые заказы, так и за ребиллы"
3901,pro,Есть качественные промо-материалы с хорошей конверсией;
3901,pro,Средняя стоимость заказа в данной нише – более 100 USD
3901,pro,Отсутствие холда 
3901,con,Можно заработать только в сезон
3901,con,Не очень много офферов.
3905,pro,Весь трекинг система работает в режиме реального времени
3905,pro,Работает круглосуточная техническая поддержка 
